DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PROCESS3,TEMP5,TEMP6,QUALITY2,ID,uts/ys
2022-09-15 03:10:00,10,GR1,0.231,1.297,0.015,0.023,0.241,0.003,0.0003,0.03,0.004,52.0,992,927.0,0,675.724,63,31,2809,1971,1.33,538.0,632,582.751,A69141,1.1595415537682476
2022-09-14 23:20:00,10,GR1,0.227,1.3,0.022,0.024,0.224,0.0025,0.0023,0.0258,0.0058,68.0,953,1112.0,19,712.413,5,31,1701,3318,1.34,589.0,521,607.252,A69071,1.173175222148301
2022-09-14 22:50:00,10,GR1,0.227,1.3,0.022,0.024,0.224,0.0025,0.0023,0.0258,0.0058,68.0,1068,1022.0,41,720.065,80,31,2254,1757,1.34,617.0,509,618.774,A09617,1.1636962768312826
2022-09-14 21:45:00,10,GR1,0.225,1.282,0.018,0.028,0.224,0.0024,0.0019,0.0341,0.0156,52.0,1070,974.0,131,705.712,72,30,2221,1643,1.34,544.0,590,601.224,A04916,1.1737921307199977
2022-08-09 20:10:00,10,GR1,0.235,1.3,0.019,0.026,0.244,0.003,0.0001,0.034,0.009,50.0,835,1115.0,26,696.705,100,26,3021,3474,1.34,538.0,605,590.037,A91819,1.1807818831700385
2022-09-15 01:50:00,10,GR1,0.22,1.32,0.014,0.023,0.22,0.003,0.0003,0.032,0.01,50.0,898,1047.0,14,701.994,312,29,2032,2131,1.33,539.0,528,601.197,A81995,1.1676605172680503
2022-12-09 10:15:00,10,GR1,0.222,1.29,0.02,0.024,0.232,0.003,0.001,0.033,0.006,49.0,871,920.0,150,713.512,205,26,2331,1736,1.35,581.0,635,620.018,A34491,1.1507923963497833
2022-12-09 07:50:00,10,GR1,0.22,1.29,0.021,0.025,0.23,0.003,0.002,0.029,0.005,52.0,1081,1067.0,31,709.536,58,27,2130,3221,1.35,622.0,542,607.214,A39341,1.168510607462937
2022-10-09 15:35:00,10,GR1,0.22,1.277,0.012,0.018,0.234,0.003,0.0002,0.021,0.007,50.0,1079,1085.0,26,734.238,321,29,2307,3404,1.34,592.0,568,640.77,A39190,1.145868252259001
2022-10-09 04:20:00,10,GR1,0.22,1.32,0.017,0.024,0.23,0.003,0.0005,0.025,0.007,45.0,840,981.0,29,717.814,306,29,2468,1915,1.34,566.0,525,617.6,A19082,1.1622636010362692
2022-10-09 07:30:00,10,GR1,0.22,1.321,0.014,0.018,0.237,0.002,0.0004,0.024,0.006,59.0,885,995.0,74,699.749,219,31,2244,2823,1.34,539.0,632,590.446,A29981,1.1851193843298118
2022-10-09 08:35:00,10,GR1,0.22,1.321,0.014,0.018,0.237,0.002,0.0004,0.024,0.006,59.0,1013,844.0,40,715.813,40,32,2995,3086,1.34,641.0,634,605.928,A29189,1.1813499293645449
2022-10-09 07:10:00,10,GR1,0.22,1.355,0.019,0.02,0.241,0.002,0.0002,0.025,0.004,48.0,957,1084.0,11,738.184,219,31,2623,2213,1.34,590.0,512,633.326,A12992,1.1655671802515608
2022-10-09 11:40:00,10,GR1,0.221,1.276,0.017,0.022,0.242,0.002,0.0001,0.028,0.009,63.0,1127,1062.0,138,710.084,246,30,2900,2845,1.33,607.0,592,607.207,A94103,1.1694265711693046
2022-10-09 12:20:00,10,GR1,0.221,1.276,0.017,0.022,0.242,0.002,0.0001,0.028,0.009,63.0,881,957.0,56,699.826,200,26,3027,2494,1.33,582.0,635,588.42,A40931,1.1893307501444548
2022-09-15 01:15:00,10,GR1,0.22,1.32,0.014,0.023,0.22,0.003,0.0003,0.032,0.01,50.0,1134,1115.0,70,690.544,225,26,2772,2304,1.33,569.0,636,590.833,A95981,1.1687634238439628
2022-08-09 17:10:00,10,GR1,0.227,1.378,0.013,0.026,0.235,0.002,0.001,0.037,0.004,53.0,929,869.0,46,724.515,106,32,2565,3046,1.34,557.0,595,607.405,A18941,1.1928038129419416
2022-12-09 04:00:00,10,GR1,0.22,1.318,0.014,0.025,0.226,0.003,0.0002,0.04,0.007,46.0,866,1043.0,133,701.147,35,26,1751,2055,1.35,603.0,520,601.353,A32991,1.165949118072081
2022-12-09 04:35:00,10,GR1,0.22,1.318,0.014,0.025,0.226,0.003,0.0002,0.04,0.007,46.0,983,883.0,59,718.79,98,32,2987,1657,1.35,539.0,613,612.514,A31299,1.1735078708405031
2022-11-09 05:50:00,10,GR1,0.234,1.323,0.012,0.026,0.236,0.003,0.0004,0.041,0.011,52.0,1070,1102.0,137,730.925,120,26,1864,3324,1.36,567.0,558,621.39,A30169,1.176274159545535
2022-11-09 04:10:00,10,GR1,0.235,1.346,0.011,0.034,0.221,0.003,0.0002,0.032,0.01,53.0,966,929.0,10,714.044,71,27,2092,3144,1.36,600.0,564,611.109,A93561,1.1684396727915969
2022-11-09 03:00:00,10,GR1,0.235,1.32,0.013,0.026,0.21,0.003,0.0003,0.028,0.007,52.0,1078,1127.0,20,727.735,180,29,1844,2866,1.34,529.0,566,613.303,A39154,1.1865831407966372
2022-09-13 14:50:00,10,GR1,0.21,1.27,0.019,0.02,0.22,0.003,0.0002,0.03,0.007,50.0,1148,1053.0,121,726.205,198,26,3151,1733,1.32,535.0,614,627.623,A49913,1.157072000229437
