DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PEOCESS3,TEMP5,TEMP6,QUALITY2,ID
2022-09-18 17:55:00,12,GR1,0.235,1.319,0.011,0.022,0.249,0.003,0.002,0.04,0.0051,44.0,1138,995.0,74,727.075,164,19,3352,2285,1.37,515.0,556,605.031,A52981
2022-09-18 18:50:00,12,GR1,0.234,1.3,0.02,0.026,0.228,0.003,0.0001,0.024,0.004,47.0,1062,885.0,119,711.91,131,18,3519,2068,1.37,612.0,574,602.111,A97861
2022-09-18 19:25:00,12,GR1,0.234,1.3,0.02,0.026,0.228,0.003,0.0001,0.024,0.004,47.0,1019,1125.0,107,705.657,210,21,3457,1728,1.37,535.0,531,585.096,A19876
2022-09-21 02:30:00,12,GR1,0.224,1.3,0.018,0.029,0.252,0.002,0.0006,0.028,0.003,45.0,940,1119.0,71,725.555,212,28,2160,1631,1.35,604.0,591,610.96,A79811
2022-09-20 19:20:00,12,GR1,0.22,1.289,0.019,0.018,0.244,0.003,0.0006,0.027,0.004,55.0,1065,1135.0,10,716.529,155,24,3490,1892,1.36,594.0,578,612.11,A97148
2022-09-20 19:50:00,12,GR1,0.22,1.289,0.019,0.018,0.244,0.003,0.0006,0.027,0.004,55.0,952,1026.0,57,701.455,204,21,2491,1994,1.36,545.0,545,604.158,A89417
2022-09-18 21:00:00,12,GR1,0.226,1.287,0.018,0.023,0.243,0.003,0.0005,0.028,0.005,49.0,958,947.0,87,706.462,292,17,1540,2702,1.37,568.0,517,595.938,A85197
2022-09-18 21:30:00,12,GR1,0.226,1.287,0.018,0.023,0.243,0.003,0.0005,0.028,0.005,49.0,1031,896.0,107,705.252,51,22,1914,3347,1.37,613.0,509,592.233,A78915
2022-09-18 23:20:00,12,GR1,0.23,1.3,0.02,0.029,0.246,0.003,0.0013,0.026,0.005,50.0,932,881.0,4,742.921,244,26,2664,3003,1.36,601.0,591,617.311,A97718
2022-09-18 22:15:00,12,GR1,0.22,1.35,0.019,0.02,0.25,0.003,0.0005,0.035,0.004,42.0,1084,934.0,103,717.695,133,25,3142,2427,1.36,603.0,548,612.272,A01898
2022-09-20 15:15:00,12,GR1,0.22,1.35,0.019,0.02,,0.003,0.0005,0.035,0.004,42.0,1105,1047.0,103,728.961,53,18,2052,1816,1.36,532.0,557,624.34,A89108
2022-09-20 15:45:00,12,GR1,,1.35,0.019,0.02,0.25,0.003,0.0005,0.035,0.004,42.0,1030,1057.0,98,724.22,24,20,2025,2732,1.36,568.0,560,622.273,A89801
2022-09-19 04:15:00,12,GR1,0.225,1.32,0.019,0.023,0.24,0.003,0.0013,0.026,0.005,50.0,927,926.0,52,702.207,256,19,2407,2068,1.36,519.0,592,589.744,A92819
2022-09-26 22:15:00,12,GR2,0.21,1.3,0.019,0.024,0.231,0.003,0.0002,0.03,0.0052,53.0,1129,947.0,111,683.419,208,24,2884,3358,1.38,626.0,523,573.172,A89195
2022-09-21 07:20:00,12,GR1,0.22,1.27,0.021,0.027,0.257,0.003,0.0009,0.031,0.0062,37.0,1056,1000.0,101,695.072,294,19,2249,3120,1.35,553.0,574,589.677,A98169
2022-09-21 09:10:00,12,GR1,0.22,1.27,0.021,0.027,0.257,0.003,0.0009,0.031,0.0062,37.0,895,1092.0,95,698.699,263,18,3075,1608,1.35,612.0,573,590.133,A91968
2022-09-19 13:10:00,12,GR1,0.22,1.35,0.018,0.025,0.227,0.003,0.0001,0.024,0.0056,48.0,979,1014.0,59,720.744,39,17,3083,3322,1.37,584.0,541,616.401,A01992
2022-09-19 08:10:00,12,GR1,0.23,1.31,0.021,0.032,0.224,0.003,0.0003,0.025,0.0062,42.0,1079,,59,706.615,37,19,2388,3162,1.36,552.0,583,597.842,A99510
2022-09-19 05:40:00,12,GR1,0.22,1.315,0.022,0.027,0.245,0.003,0.0003,0.027,0.005,45.0,1096,,109,697.681,283,25,3223,3060,1.36,560.0,588,590.784,A91970
2022-09-19 10:15:00,12,GR1,0.235,1.335,0.014,0.028,0.231,0.003,0.0004,0.031,0.006,48.0,1151,1013.0,63,727.83,84,26,3253,2955,1.36,625.0,503,615.096,A91909
2022-09-19 10:50:00,12,GR1,0.23,1.32,0.016,0.022,0.21,0.002,0.0002,0.025,0.003,49.0,994,1034.0,111,723.82,47,28,2169,2816,1.36,560.0,568,611.565,A99311
