DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PROCESS3,TEMP5,TEMP6,QUALITY2,ID,uts/ys
2022-08-30 03:00:00,16,GR1,0.23,1.318,0.013,0.023,0.23,0.003,0.0002,0.024,0.007,55.0,875,1121.0,119,718.417,169,11,2221,3699,1.31,580.0,553,600.703,A15238,1.195960399731648
2022-02-12 10:25:00,16,GR1,0.235,1.322,0.009,0.028,0.251,0.003,0.0005,0.026,0.001,45.0,1054,851.0,3,717.128,216,13,2912,3273,1.27,542.0,510,596.613,A32414,1.201998615517932
2023-01-24 17:50:00,16,GR1,0.22,1.29,0.024,0.028,0.236,0.002,0.0003,0.059,0.009,43.0,1119,1019.0,120,723.07,53,13,2158,2442,1.3,609.0,566,617.008,A37246,1.1718972849622695
2023-01-02 03:10:00,16,GR1,0.226,1.225,0.018,0.024,0.208,0.003,0.0005,0.03,0.011,59.0,845,981.0,13,730.698,279,11,3022,3297,1.29,558.0,552,618.81,A74622,1.1808115576671354
2023-01-02 03:50:00,16,GR1,0.227,1.239,0.021,0.025,0.222,0.003,0.0003,0.034,0.01,57.0,851,905.0,75,737.58,192,12,2140,3619,1.29,598.0,503,624.121,A76222,1.1817900695538206
2023-01-02 03:30:00,16,GR1,0.227,1.239,0.021,0.025,0.222,0.003,0.0003,0.034,0.01,57.0,1022,1060.0,125,723.937,276,12,2007,3157,1.29,618.0,525,606.94,A72226,1.1927653474808053
2023-01-24 10:00:00,16,GR1,0.225,1.195,0.022,0.022,0.25,0.003,0.0006,0.029,0.011,59.0,878,1118.0,82,718.455,180,14,2407,3392,1.29,609.0,581,612.512,A96721,1.1729647745676821
2023-01-24 09:30:00,16,GR1,0.225,1.195,0.022,0.022,0.25,0.003,0.0006,0.029,0.011,59.0,1106,821.0,125,722.275,135,13,2201,2863,1.29,641.0,563,615.474,A69172,1.1735264202874531
2023-01-24 07:55:00,16,GR1,0.225,1.17,0.014,0.025,0.232,0.003,0.0002,0.034,0.006,57.0,859,863.0,87,718.853,186,11,2366,2274,1.28,532.0,568,607.074,A01276,1.1841274704566493
2023-01-24 15:35:00,16,GR1,0.223,1.2,0.017,0.025,0.218,0.002,0.0001,0.029,0.002,56.0,1011,932.0,20,721.124,291,14,2103,3193,1.29,554.0,526,603.24,A26327,1.1954180757244215
2023-01-27 20:25:00,16,GR1,0.23,1.28,0.017,0.025,0.213,0.003,0.0001,0.029,0.004,55.0,1136,940.0,107,722.089,134,11,2301,3119,1.29,573.0,539,609.026,A73829,1.1856456046211494
2022-10-29 23:50:00,16,GR1,0.22,1.29,0.024,0.026,0.258,0.0028,0.0016,0.0227,0.0054,48.0,834,1078.0,52,732.259,252,13,3155,3059,1.28,575.0,561,606.279,A59221,1.2077921221087982
2022-08-29 18:40:00,16,GR1,0.231,1.3,0.013,0.025,0.23,0.003,0.0002,0.026,0.0054,46.0,1140,1074.0,122,721.314,298,13,2031,3688,1.31,571.0,578,605.976,A91848,1.1903342706641846
2022-08-29 15:35:00,16,GR1,0.25,1.3,0.013,0.029,0.241,0.003,0.0002,0.031,0.006,54.0,1148,1018.0,103,732.741,105,12,2962,2692,1.31,629.0,567,616.305,A58010,1.1889259376445105
2022-08-29 18:10:00,16,GR1,0.223,1.283,0.014,0.025,0.237,0.0031,0.0028,0.0291,0.005,45.0,915,1089.0,63,699.174,22,11,3000,3637,1.31,625.0,502,599.826,A18551,1.1656280321293173
2022-08-29 19:10:00,16,GR1,0.22,1.31,0.016,0.028,0.242,0.003,0.0003,0.03,0.003,56.0,886,1091.0,79,705.852,294,12,2142,3442,1.31,624.0,510,599.566,A11587,1.1772715597615608
2022-08-29 20:10:00,16,GR1,0.22,1.31,0.016,0.028,0.242,0.003,0.0003,0.03,0.003,56.0,821,1080.0,56,712.046,93,13,2509,3386,1.31,634.0,524,602.944,A15781,1.180948811166543
2022-08-29 20:40:00,16,GR1,0.228,1.302,0.013,0.04,0.238,0.003,0.0001,0.031,0.002,50.0,1016,1101.0,129,710.12,256,11,3255,2156,1.31,598.0,558,599.695,A28115,1.1841352687616205
2022-08-30 02:30:00,16,GR1,0.23,1.318,0.013,0.023,0.23,0.003,0.0002,0.024,0.007,55.0,1021,1045.0,56,723.944,287,11,2388,3067,1.31,619.0,507,606.074,A21358,1.1944812019654365
2022-10-30 06:50:00,16,GR1,0.225,1.328,0.015,0.02,0.237,0.003,0.004,0.0404,0.0061,45.0,1011,1096.0,136,719.21,45,11,2029,2620,1.28,590.0,512,596.688,A22271,1.2053367924275333
2022-08-30 13:20:00,16,GR1,0.23,1.39,0.019,0.026,0.264,0.002,0.0001,0.024,0.001,50.0,964,971.0,135,716.021,272,11,2068,2414,1.3,519.0,575,606.621,A16858,1.1803432456179392
2022-08-30 13:45:00,16,GR1,0.23,1.39,0.019,0.026,0.264,0.002,0.0001,0.024,0.001,50.0,1094,923.0,19,714.991,259,14,2015,3374,1.3,602.0,536,601.687,A58618,1.1883105335498356
2022-08-30 16:35:00,16,GR1,0.226,1.345,0.015,0.03,0.239,0.002,0.0001,0.026,0.003,57.0,914,899.0,131,707.375,213,14,2928,2320,1.3,635.0,580,592.151,A51587,1.1945855026842815
2022-08-30 15:20:00,16,GR1,0.223,1.304,0.014,0.034,0.223,0.003,0.0001,0.031,0.004,48.0,1079,1016.0,107,720.724,261,14,2990,2777,1.3,551.0,568,600.703,A18857,1.1998008999455638
2022-08-30 15:50:00,16,GR1,0.223,1.304,0.014,0.034,0.223,0.003,0.0001,0.031,0.004,48.0,880,1030.0,78,724.903,68,12,2097,2156,1.3,559.0,529,604.587,A88715,1.1990052713670656
2022-08-30 22:15:00,16,GR1,0.226,1.295,0.017,0.035,0.223,0.003,0.002,0.05,0.0048,45.0,930,952.0,63,721.769,214,12,3088,2357,1.3,565.0,522,592.684,A15589,1.2177973422599564
2022-08-30 22:45:00,16,GR1,0.25,1.33,0.013,0.029,0.223,0.003,0.002,0.031,0.005,47.0,1145,887.0,46,725.872,211,12,3139,2493,1.3,539.0,582,588.382,A06841,1.233674721524452
2022-08-30 23:15:00,16,GR1,0.25,1.33,0.013,0.029,0.223,0.003,0.002,0.031,0.005,47.0,1150,976.0,49,729.45,111,14,3323,3524,1.3,549.0,511,586.293,A14860,1.2441731352753658
2022-04-09 12:20:00,16,GR1,0.231,1.31,0.018,0.021,0.231,0.002,0.0001,0.027,0.007,48.0,1119,840.0,36,708.924,58,14,2811,2570,1.3,530.0,509,607.606,A87217,1.1667495054360886
2022-05-09 08:55:00,16,GR1,0.238,1.329,0.015,0.029,0.229,0.003,0.0002,0.029,0.008,54.0,1054,911.0,112,713.227,153,15,3090,3071,1.32,613.0,549,605.052,A17185,1.1787862861373897
2022-08-30 09:50:00,16,GR1,0.239,1.29,0.017,0.022,0.223,0.003,0.0003,0.022,0.0056,50.0,993,961.0,126,705.151,165,14,2720,2600,1.31,537.0,539,599.145,A51568,1.1769287901926913
2022-08-29 10:15:00,16,GR1,0.234,1.35,0.01,0.025,0.234,0.003,0.0003,0.024,0.003,41.0,1122,990.0,31,710.665,66,11,2551,2175,1.3,553.0,547,593.308,A91884,1.1978011420712344
2022-08-29 07:00:00,16,GR1,0.22,1.3,0.033,0.023,0.25,0.002,0.0003,0.027,0.006,52.0,904,1034.0,116,691.932,300,14,2680,3528,1.3,561.0,500,577.881,A84815,1.197360702289918
2022-08-27 02:50:00,16,GR1,0.237,1.327,0.018,0.026,0.242,0.002,0.0004,0.034,0.004,43.0,1111,1075.0,28,717.554,182,11,2648,3184,1.29,520.0,519,604.89,A13038,1.186255352212799
2022-08-27 07:50:00,16,GR1,0.237,1.327,0.018,0.026,0.242,0.002,0.0004,0.034,0.004,43.0,1027,992.0,21,718.328,207,13,2209,2500,1.29,571.0,502,591.977,A01338,1.213439035638209
2022-08-27 05:40:00,16,GR1,0.237,1.31,0.014,0.022,0.253,0.002,0.0004,0.031,0.004,49.0,857,1126.0,18,706.971,41,11,2311,2258,1.29,642.0,518,591.696,A31783,1.194821327168005
2022-08-28 23:55:00,16,GR1,0.23,1.312,0.015,0.037,0.235,0.003,0.0002,0.038,0.003,50.0,948,1025.0,42,719.22,259,11,2868,2926,1.3,534.0,536,607.005,A48331,1.1848666814935627
2022-08-27 08:50:00,16,GR1,0.226,1.284,0.01,0.02,0.219,0.002,0.0001,0.039,0.005,51.0,984,960.0,66,724.347,268,12,2793,2835,1.29,515.0,553,609.482,A16384,1.1884633180307211
2022-08-27 09:20:00,16,GR1,0.226,1.284,0.01,0.02,0.219,0.002,0.0001,0.039,0.005,51.0,1038,896.0,26,709.155,262,15,2951,3663,1.29,563.0,539,604.247,A61438,1.1736177424132848
