DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PROCESS3,TEMP5,TEMP6,QUALITY2,ID,uts/ys
2022-04-25 22:40:00,12,GR1,0.237,1.29,0.017,0.03,0.239,0.003,0.002,0.025,0.0064,52.0,1070,958.0,98,683.972,209,24,3010,3171,1.35,560.0,515,585.57,A79410,1.1680448110388169
2023-01-20 08:35:00,12,GR1,0.223,1.191,0.022,0.024,0.218,0.003,0.002,0.034,0.005,50.0,948,949.0,60,714.119,283,27,1819,1497,1.38,598.0,550,611.707,A77323,1.1674200229848604
2023-01-20 08:05:00,12,GR1,0.22,1.25,0.017,0.029,0.21,0.002,0.0001,0.029,0.006,51.0,1096,963.0,131,703.983,267,28,2534,1915,1.38,561.0,586,582.039,A21377,1.2095117337498003
2023-01-20 12:20:00,12,GR1,0.228,1.215,0.023,0.018,0.224,0.003,0.002,0.027,0.005,50.0,1073,1063.0,13,712.021,30,28,2299,3390,1.38,529.0,530,599.663,A53772,1.1873685720146148
2022-04-25 21:40:00,12,GR1,0.222,1.3,0.019,0.028,0.251,0.002,0.0015,0.028,0.005,54.0,969,1084.0,124,728.63,255,21,2341,1929,1.35,545.0,580,620.021,A94015,1.1751698732784859
2023-04-21 19:00:00,12,GR1,0.23,1.3,0.012,0.022,0.263,0.002,0.0002,0.025,0.007,63.0,1142,1041.0,9,728.278,62,25,2610,2368,1.37,502.0,529,603.609,A92238,1.2065393325811908
2022-12-15 15:50:00,12,GR1,0.223,1.3,0.022,0.028,0.241,0.003,0.0014,0.03,0.005,45.0,1091,927.0,20,735.655,189,19,1662,3096,1.36,528.0,593,619.49,A02057,1.1875171512050233
2023-01-20 09:05:00,12,GR1,0.227,1.19,0.018,0.033,0.221,0.003,0.002,0.036,0.005,48.0,946,1105.0,55,723.389,83,24,2667,3008,1.38,623.0,553,605.645,A62387,1.1944109172865294
2023-01-20 12:50:00,12,GR1,0.228,1.215,0.023,0.018,0.224,0.003,0.002,0.027,0.005,50.0,1061,917.0,90,729.035,299,18,1664,2744,1.38,520.0,568,616.053,A27735,1.1833965584129937
2022-04-25 16:40:00,12,GR1,0.223,1.35,0.017,0.019,0.247,0.003,0.0006,0.027,0.005,53.0,972,1106.0,114,708.361,7,24,3432,3437,1.37,507.0,539,615.511,A10836,1.1508502691259783
2023-01-21 04:00:00,12,GR1,0.225,1.29,0.019,0.029,0.22,0.002,0.0002,0.033,0.005,55.0,903,1080.0,67,745.667,209,21,2808,2214,1.38,509.0,500,629.518,A82373,1.1845046527660845
2023-01-20 15:30:00,12,GR1,0.222,1.204,0.013,0.019,0.229,0.002,0.0001,0.038,0.006,48.0,1009,924.0,45,709.328,275,17,1783,1554,1.39,540.0,586,599.178,A37982,1.1838351875402635
2023-01-20 19:10:00,12,GR1,0.223,1.244,0.025,0.03,0.231,0.003,0.0005,0.039,0.008,56.0,907,959.0,31,720.318,40,21,1646,3053,1.39,605.0,536,620.738,A37229,1.1604219493570556
2022-04-27 06:50:00,12,GR1,0.234,1.278,0.02,0.016,0.217,0.0025,0.0017,0.0187,0.0053,53.0,1048,1037.0,46,700.262,81,27,1525,3031,1.37,579.0,538,593.852,A10123,1.179186059826354
2023-01-20 06:10:00,12,GR1,0.215,1.217,0.02,0.023,0.214,0.002,0.0013,0.023,0.005,55.0,978,980.0,23,698.376,52,17,2372,2722,1.38,553.0,502,595.51,A76232,1.1727359742069823
2023-01-18 11:00:00,12,GR1,0.228,1.43,0.017,0.023,0.249,0.003,0.002,0.03,0.0049,48.0,881,1035.0,78,727.076,39,20,2773,2883,1.36,532.0,532,595.752,A72274,1.2204340060964967
2023-01-21 05:00:00,12,GR1,0.225,1.286,0.018,0.023,0.227,0.003,0.0003,0.032,0.004,56.0,1118,960.0,7,727.069,35,17,1896,2434,1.38,648.0,512,601.706,A24270,1.208345936387538
2022-04-27 08:05:00,12,GR1,0.226,1.32,0.024,0.023,0.241,0.0024,0.0019,0.0227,0.0083,51.0,970,968.0,43,705.161,0,21,3277,3105,1.37,605.0,576,603.5,A30110,1.1684523612261806
2022-04-27 03:45:00,12,GR1,0.226,1.32,0.024,0.023,0.241,0.0024,0.0019,0.0227,0.0083,51.0,1092,963.0,21,703.264,195,26,2577,2259,1.37,510.0,521,593.244,A03110,1.1854548887135816
2023-01-20 21:15:00,12,GR1,0.22,1.21,0.016,0.024,0.21,0.002,0.0001,0.036,0.005,55.0,1083,1075.0,136,718.207,100,27,1854,3254,1.39,517.0,576,616.202,A35792,1.1655382488210035
2023-01-21 03:10:00,12,GR1,0.22,1.189,0.02,0.019,0.244,0.003,0.0008,0.03,0.002,68.0,1099,937.0,34,732.137,129,21,2361,1823,1.39,526.0,563,605.383,A02647,1.2093781952912452
2023-01-20 23:50:00,12,GR1,0.225,1.29,0.019,0.029,0.22,0.002,0.0002,0.033,0.005,55.0,1031,961.0,54,719.755,0,28,2375,2619,1.39,644.0,592,604.492,A72383,1.1906774614056101
2022-04-25 22:10:00,12,GR1,0.237,1.29,0.017,0.03,0.239,0.003,0.002,0.025,0.0064,52.0,913,1093.0,125,713.647,46,27,2576,2634,1.35,599.0,569,602.072,A49170,1.18531836723847
2022-04-26 00:00:00,12,GR1,0.229,1.305,0.02,0.021,0.252,0.003,0.0015,0.022,0.005,43.0,996,1014.0,101,716.166,0,22,2514,2167,1.35,561.0,591,610.127,A95160,1.1737982420053532
